Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Parent,Parent summary,Status Category
Hardware Integration,IBM-18,10050,Story,In Progress,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:53 PM,17/Nov/22 9:42 PM,18/Nov/22 7:50 PM,,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i000b3:,I14815 Sprint 4,,10.0,10036,Backend and Hardware,In Progress
Enhancing the interface through reiteration (Improvising),IBM-17,10049,Story,In Progress,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,,Kaiser,636fc8e996243ac755ef2cec,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:52 PM,17/Nov/22 9:42 PM,17/Nov/22 2:52 PM,,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i000av:,I14815 Sprint 4,,4.0,10036,Backend and Hardware,In Progress
Text to Speech Engine,IBM-16,10048,Story,In Progress,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,,Gokul K S,636fc9082f8b3c8f116c3984,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:52 PM,17/Nov/22 9:42 PM,17/Nov/22 9:35 PM,,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i000an:,I14815 Sprint 4,,6.0,10036,Backend and Hardware,In Progress
Device Setup,IBM-15,10047,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:51 PM,18/Nov/22 7:38 PM,17/Nov/22 7:12 PM,18/Nov/22 7:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i000bb:,I14815 Sprint 3,,5.0,10036,Backend and Hardware,Done
Cloudant DB Setup,IBM-14,10046,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Kaiser,636fc8e996243ac755ef2cec,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:50 PM,17/Nov/22 9:38 PM,18/Nov/22 7:50 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i000a7:,I14815 Sprint 3,,5.0,10036,Backend and Hardware,Done
IBM Watson Setup,IBM-13,10045,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Rashmi S,636fc9706bbefce0aca4aa2a,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:50 PM,17/Nov/22 9:38 PM,17/Nov/22 2:51 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i0009z:,I14815 Sprint 3,,5.0,10036,Backend and Hardware,Done
Node-Red Flow Setup,IBM-12,10044,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Gokul K S,636fc9082f8b3c8f116c3984,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:50 PM,17/Nov/22 9:38 PM,17/Nov/22 2:51 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i0009r:,I14815 Sprint 3,,5.0,10036,Backend and Hardware,Done
Dashboard for Physician's Usage,IBM-11,10043,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Rashmi S,636fc9706bbefce0aca4aa2a,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:49 PM,17/Nov/22 9:38 PM,18/Nov/22 7:50 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i0009j:,I14815 Sprint 2,,6.0,10035,Dashboard,Done
Dashboard for Caretaker's Usage,IBM-10,10042,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Kaiser,636fc8e996243ac755ef2cec,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:49 PM,17/Nov/22 9:38 PM,18/Nov/22 7:50 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i0009b:,I14815 Sprint 2,,6.0,10035,Dashboard,Done
Dashboard for Patient's Usage,IBM-9,10041,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Gokul K S,636fc9082f8b3c8f116c3984,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:49 PM,17/Nov/22 9:38 PM,18/Nov/22 7:50 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i00093:,I14815 Sprint 2,,8.0,10035,Dashboard,Done
Logging in using Email & Password or by other services,IBM-8,10040,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Gokul K S,636fc9082f8b3c8f116c3984,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:49 PM,17/Nov/22 9:38 PM,18/Nov/22 7:50 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i0008v:,I14815 Sprint 1,,5.0,10034,Login Page,Done
Giving optional registration methods from Facebook and Google,IBM-7,10039,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:48 PM,17/Nov/22 9:38 PM,18/Nov/22 7:50 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i0008n:,I14815 Sprint 1,,5.0,10033,Registration Page,Done
Triggering the Verification mail,IBM-6,10038,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Kaiser,636fc8e996243ac755ef2cec,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:48 PM,17/Nov/22 9:38 PM,17/Nov/22 3:06 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i0008f:,I14815 Sprint 1,,5.0,10033,Registration Page,Done
Developing Page for getting Username & Password,IBM-5,10037,Story,Done,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,Done,Rashmi S,636fc9706bbefce0aca4aa2a,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:48 PM,17/Nov/22 9:38 PM,18/Nov/22 7:49 PM,17/Nov/22 9:38 PM,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},,0|i00087:,I14815 Sprint 1,,5.0,10033,Registration Page,Done
Backend and Hardware,IBM-4,10036,Epic,To Do,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,,Gokul K S,636fc9082f8b3c8f116c3984,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:47 PM,18/Nov/22 7:49 PM,18/Nov/22 7:48 PM,,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},purple,0|i0007z:,,,,,,To Do
Dashboard,IBM-3,10035,Epic,To Do,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:47 PM,18/Nov/22 7:48 PM,18/Nov/22 7:48 PM,,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},purple,0|i0007r:,,,,,,To Do
Login Page,IBM-2,10034,Epic,To Do,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,,Kaiser,636fc8e996243ac755ef2cec,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:47 PM,18/Nov/22 7:48 PM,18/Nov/22 7:48 PM,,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},purple,0|i0007j:,,,,,,To Do
Registration Page,IBM-1,10033,Epic,To Do,IBM,IBM-14815,software,Harish L,636fc2ff524352f9c6e59e26,,Medium,,Rashmi S,636fc9706bbefce0aca4aa2a,Harish L,636fc2ff524352f9c6e59e26,Harish L,636fc2ff524352f9c6e59e26,17/Nov/22 2:47 PM,18/Nov/22 7:48 PM,18/Nov/22 7:47 PM,,,0,,,Harish L,636fc2ff524352f9c6e59e26,,,,,,,,,{},purple,0|i0007b:,,,,,,To Do
